Nome;parametro;valor
sobradinho;Kt-35;0.005
ssimao2;Kt-35;0
avermelha;Kt-36;0
baixoig;Kt-36;0
candonga;Kt-36;0
capivara;Kt-36;0
colider;Kt-36;0
dfranc;Kt-36;0
irape;Kt-36;0
ita;Kt-36;0
manso;Kt-36;0
navanhanda;Kt-36;0
pimentalt;Kt-36;0.013
smesa;Kt-36;0
sobradinho;Kt-36;0.005
ssimao2;Kt-36;0
avermelha;Kt-37;0
baixoig;Kt-37;0
candonga;Kt-37;0
capivara;Kt-37;0
colider;Kt-37;0
dfranc;Kt-37;0
irape;Kt-37;0
ita;Kt-37;0
manso;Kt-37;0
navanhanda;Kt-37;0
pimentalt;Kt-37;0.013
smesa;Kt-37;0
sobradinho;Kt-37;0.005
ssimao2;Kt-37;0
avermelha;Kt-38;0
baixoig;Kt-38;0
candonga;Kt-38;0
capivara;Kt-38;0
colider;Kt-38;0
dfranc;Kt-38;0
irape;Kt-38;0
ita;Kt-38;0
manso;Kt-38;0
navanhanda;Kt-38;0
pimentalt;Kt-38;0.013
smesa;Kt-38;0
sobradinho;Kt-38;0.005
ssimao2;Kt-38;0
avermelha;Kt-39;0
baixoig;Kt-39;0
candonga;Kt-39;0
capivara;Kt-39;0
colider;Kt-39;0
dfranc;Kt-39;0
irape;Kt-39;0
ita;Kt-39;0
manso;Kt-39;0
navanhanda;Kt-39;0
pimentalt;Kt-39;0.013
smesa;Kt-39;0
sobradinho;Kt-39;0.005
ssimao2;Kt-39;0
avermelha;Kt-40;0
baixoig;Kt-40;0
candonga;Kt-40;0
capivara;Kt-40;0
colider;Kt-40;0
dfranc;Kt-40;0
irape;Kt-40;0
ita;Kt-40;0
manso;Kt-40;0
navanhanda;Kt-40;0
pimentalt;Kt-40;0.013
smesa;Kt-40;0
sobradinho;Kt-40;0.005
ssimao2;Kt-40;0
avermelha;Kt-41;0
baixoig;Kt-41;0
candonga;Kt-41;0
capivara;Kt-41;0
colider;Kt-41;0
dfranc;Kt-41;0
irape;Kt-41;0
ita;Kt-41;0
manso;Kt-41;0
navanhanda;Kt-41;0
pimentalt;Kt-41;0.013
smesa;Kt-41;0
sobradinho;Kt-41;0
ssimao2;Kt-41;0
avermelha;Kt-42;0
baixoig;Kt-42;0
candonga;Kt-42;0
capivara;Kt-42;0
colider;Kt-42;0
dfranc;Kt-42;0
irape;Kt-42;0
ita;Kt-42;0
manso;Kt-42;0
navanhanda;Kt-42;0
pimentalt;Kt-42;0.013
smesa;Kt-42;0
sobradinho;Kt-42;0
ssimao2;Kt-42;0
avermelha;Kt-43;0
baixoig;Kt-43;0
candonga;Kt-43;0
capivara;Kt-43;0
colider;Kt-43;0
dfranc;Kt-43;0
irape;Kt-43;0
ita;Kt-43;0
manso;Kt-43;0
navanhanda;Kt-43;0
pimentalt;Kt-43;0.013
smesa;Kt-43;0
sobradinho;Kt-43;0
ssimao2;Kt-43;0
avermelha;Kt-44;0
baixoig;Kt-44;0
candonga;Kt-44;0
capivara;Kt-44;0
colider;Kt-44;0
dfranc;Kt-44;0
irape;Kt-44;0
ita;Kt-44;0
manso;Kt-44;0
navanhanda;Kt-44;0
pimentalt;Kt-44;0.013
smesa;Kt-44;0
sobradinho;Kt-44;0
ssimao2;Kt-44;0
avermelha;Kt-45;0
baixoig;Kt-45;0
candonga;Kt-45;0
capivara;Kt-45;0
colider;Kt-45;0
dfranc;Kt-45;0
irape;Kt-45;0
ita;Kt-45;0
manso;Kt-45;0
navanhanda;Kt-45;0
pimentalt;Kt-45;0.013
smesa;Kt-45;0
sobradinho;Kt-45;0
ssimao2;Kt-45;0
avermelha;Kt-46;0
baixoig;Kt-46;0
candonga;Kt-46;0
capivara;Kt-46;0
colider;Kt-46;0
dfranc;Kt-46;0
irape;Kt-46;0
ita;Kt-46;0
manso;Kt-46;0
navanhanda;Kt-46;0
pimentalt;Kt-46;0.013
smesa;Kt-46;0
sobradinho;Kt-46;0
ssimao2;Kt-46;0
avermelha;Kt-47;0
baixoig;Kt-47;0
candonga;Kt-47;0
capivara;Kt-47;0
colider;Kt-47;0
dfranc;Kt-47;0
irape;Kt-47;0
ita;Kt-47;0
manso;Kt-47;0
navanhanda;Kt-47;0
pimentalt;Kt-47;0.013
smesa;Kt-47;0
sobradinho;Kt-47;0
ssimao2;Kt-47;0
avermelha;Kt-48;0
baixoig;Kt-48;0
candonga;Kt-48;0
capivara;Kt-48;0
colider;Kt-48;0
dfranc;Kt-48;0
irape;Kt-48;0
ita;Kt-48;0
manso;Kt-48;0
navanhanda;Kt-48;0
pimentalt;Kt-48;0.013
smesa;Kt-48;0
sobradinho;Kt-48;0
ssimao2;Kt-48;0
avermelha;Kt-49;0
baixoig;Kt-49;0
candonga;Kt-49;0
capivara;Kt-49;0
colider;Kt-49;0
dfranc;Kt-49;0
irape;Kt-49;0
ita;Kt-49;0
manso;Kt-49;0
navanhanda;Kt-49;0
pimentalt;Kt-49;0.013
smesa;Kt-49;0
sobradinho;Kt-49;0
ssimao2;Kt-49;0
avermelha;Kt-50;0
baixoig;Kt-50;0
candonga;Kt-50;0
capivara;Kt-50;0
colider;Kt-50;0
dfranc;Kt-50;0
irape;Kt-50;0
ita;Kt-50;0
manso;Kt-50;0
navanhanda;Kt-50;0
pimentalt;Kt-50;0.013
smesa;Kt-50;0
sobradinho;Kt-50;0
ssimao2;Kt-50;0
avermelha;Kt-51;0
baixoig;Kt-51;0
candonga;Kt-51;0
capivara;Kt-51;0
colider;Kt-51;0
dfranc;Kt-51;0
irape;Kt-51;0
ita;Kt-51;0
manso;Kt-51;0
navanhanda;Kt-51;0
pimentalt;Kt-51;0.013
smesa;Kt-51;0
sobradinho;Kt-51;0
ssimao2;Kt-51;0
avermelha;Kt-52;0
baixoig;Kt-52;0
candonga;Kt-52;0
capivara;Kt-52;0
colider;Kt-52;0
dfranc;Kt-52;0
irape;Kt-52;0
ita;Kt-52;0
manso;Kt-52;0
navanhanda;Kt-52;0
pimentalt;Kt-52;0.013
smesa;Kt-52;0
sobradinho;Kt-52;0
ssimao2;Kt-52;0
avermelha;Kt-53;0
baixoig;Kt-53;0
candonga;Kt-53;0
capivara;Kt-53;0
colider;Kt-53;0
dfranc;Kt-53;0
irape;Kt-53;0
ita;Kt-53;0
manso;Kt-53;0
navanhanda;Kt-53;0
pimentalt;Kt-53;0.013
smesa;Kt-53;0
sobradinho;Kt-53;0
ssimao2;Kt-53;0
avermelha;Kt-54;0
baixoig;Kt-54;0
candonga;Kt-54;0
capivara;Kt-54;0
colider;Kt-54;0
dfranc;Kt-54;0
irape;Kt-54;0
ita;Kt-54;0
manso;Kt-54;0
navanhanda;Kt-54;0
pimentalt;Kt-54;0.013
smesa;Kt-54;0
sobradinho;Kt-54;0
ssimao2;Kt-54;0
avermelha;Kt-55;0
baixoig;Kt-55;0
candonga;Kt-55;0
capivara;Kt-55;0
colider;Kt-55;0
dfranc;Kt-55;0
irape;Kt-55;0
ita;Kt-55;0
manso;Kt-55;0
navanhanda;Kt-55;0
pimentalt;Kt-55;0.013
smesa;Kt-55;0
sobradinho;Kt-55;0
ssimao2;Kt-55;0
avermelha;Kt-56;0
baixoig;Kt-56;0
candonga;Kt-56;0
capivara;Kt-56;0
colider;Kt-56;0
dfranc;Kt-56;0
irape;Kt-56;0
ita;Kt-56;0
manso;Kt-56;0
navanhanda;Kt-56;0
pimentalt;Kt-56;0.013
smesa;Kt-56;0
sobradinho;Kt-56;0
ssimao2;Kt-56;0
avermelha;Kt-57;0
baixoig;Kt-57;0
candonga;Kt-57;0
capivara;Kt-57;0
colider;Kt-57;0
dfranc;Kt-57;0
irape;Kt-57;0
ita;Kt-57;0
manso;Kt-57;0
navanhanda;Kt-57;0
pimentalt;Kt-57;0.013
smesa;Kt-57;0
sobradinho;Kt-57;0
ssimao2;Kt-57;0
avermelha;Kt-58;0
baixoig;Kt-58;0
candonga;Kt-58;0
capivara;Kt-58;0
colider;Kt-58;0
dfranc;Kt-58;0
irape;Kt-58;0
ita;Kt-58;0
manso;Kt-58;0
navanhanda;Kt-58;0
pimentalt;Kt-58;0.013
smesa;Kt-58;0
sobradinho;Kt-58;0
ssimao2;Kt-58;0
avermelha;Kt-59;0
baixoig;Kt-59;0
candonga;Kt-59;0
capivara;Kt-59;0
colider;Kt-59;0
dfranc;Kt-59;0
irape;Kt-59;0
ita;Kt-59;0
manso;Kt-59;0
navanhanda;Kt-59;0
pimentalt;Kt-59;0.013
smesa;Kt-59;0
sobradinho;Kt-59;0
ssimao2;Kt-59;0
avermelha;Kt-60;0
baixoig;Kt-60;0
candonga;Kt-60;0
capivara;Kt-60;0
colider;Kt-60;0
dfranc;Kt-60;0
irape;Kt-60;0
ita;Kt-60;0
manso;Kt-60;0
navanhanda;Kt-60;0
pimentalt;Kt-60;0.013
smesa;Kt-60;0
sobradinho;Kt-60;0
ssimao2;Kt-60;0
avermelha;Str;137
baixoig;Str;164.06
candonga;Str;99.04
capivara;Str;152
colider;Str;129.81
dfranc;Str;185.22
irape;Str;105.09
ita;Str;207
manso;Str;53.64
navanhanda;Str;423.55
pimentalt;Str;42.1
smesa;Str;121.62
sobradinho;Str;161.03
ssimao2;Str;145.65
avermelha;K2t;5
baixoig;K2t;3
candonga;K2t;1.5
capivara;K2t;1.9
colider;K2t;7
dfranc;K2t;1.2
irape;K2t;3
ita;K2t;2.8
manso;K2t;6
navanhanda;K2t;2.3
pimentalt;K2t;12
smesa;K2t;1.5
sobradinho;K2t;6
ssimao2;K2t;4.3
avermelha;Crec;22
baixoig;Crec;7.51
candonga;Crec;60
capivara;Crec;11
colider;Crec;3.41
dfranc;Crec;1
irape;Crec;1.79
ita;Crec;1
manso;Crec;18.65
navanhanda;Crec;1.03
pimentalt;Crec;3.8
smesa;Crec;100
sobradinho;Crec;0.39
ssimao2;Crec;100
avermelha;Ai;1
baixoig;Ai;1
candonga;Ai;1
capivara;Ai;1
colider;Ai;1
dfranc;Ai;1
irape;Ai;1
ita;Ai;1
manso;Ai;1
navanhanda;Ai;1
pimentalt;Ai;1
smesa;Ai;1
sobradinho;Ai;1
ssimao2;Ai;1
avermelha;Capc;30
baixoig;Capc;69.63
candonga;Capc;25.67
capivara;Capc;41.5
colider;Capc;10
dfranc;Capc;27.09
irape;Capc;10
ita;Capc;34.4
manso;Capc;50
navanhanda;Capc;30
pimentalt;Capc;10
smesa;Capc;16.83
sobradinho;Capc;10
ssimao2;Capc;30
avermelha;K_kt;143
baixoig;K_kt;20
candonga;K_kt;144
capivara;K_kt;106
colider;K_kt;130
dfranc;K_kt;30
irape;K_kt;79
ita;K_kt;15
manso;K_kt;150
navanhanda;K_kt;250
pimentalt;K_kt;57
smesa;K_kt;61
sobradinho;K_kt;400
ssimao2;K_kt;164
avermelha;K2t2;10
baixoig;K2t2;10
candonga;K2t2;10
capivara;K2t2;10
colider;K2t2;10
dfranc;K2t2;10
irape;K2t2;10
ita;K2t2;1.1
manso;K2t2;10
navanhanda;K2t2;4
pimentalt;K2t2;10
smesa;K2t2;10
sobradinho;K2t2;10
ssimao2;K2t2;10
avermelha;H1;200
baixoig;H1;200
candonga;H1;200
capivara;H1;200
colider;H1;200
dfranc;H1;200
irape;H1;200
ita;H1;21.1
manso;H1;200
navanhanda;H1;4
pimentalt;H1;200
smesa;H1;200
sobradinho;H1;200
ssimao2;H1;200
avermelha;H;200
baixoig;H;200
candonga;H;200
capivara;H;200
colider;H;15.2
dfranc;H;200
irape;H;6.4
ita;H;200
manso;H;200
navanhanda;H;200
pimentalt;H;12.9
smesa;H;200
sobradinho;H;2.67
ssimao2;H;11
avermelha;K3t;10
baixoig;K3t;10
candonga;K3t;10
capivara;K3t;10
colider;K3t;30
dfranc;K3t;10
irape;K3t;3
ita;K3t;10
manso;K3t;10
navanhanda;K3t;10
pimentalt;K3t;12
smesa;K3t;10
sobradinho;K3t;10.3
ssimao2;K3t;10
avermelha;K1t;10
baixoig;K1t;10
candonga;K1t;10
capivara;K1t;10
colider;K1t;1.5
dfranc;K1t;10
irape;K1t;2.6
ita;K1t;10
manso;K1t;10
navanhanda;K1t;10
pimentalt;K1t;3.8
smesa;K1t;10
sobradinho;K1t;0.9
ssimao2;K1t;0.2
avermelha;Ecof;0.83
baixoig;Ecof;0.7
candonga;Ecof;0.8
capivara;Ecof;0.8
colider;Ecof;0.86
dfranc;Ecof;0.85
irape;Ecof;0.87
ita;Ecof;0.7
manso;Ecof;0.6
navanhanda;Ecof;0.98
pimentalt;Ecof;0.74
smesa;Ecof;1.3
sobradinho;Ecof;0.9
ssimao2;Ecof;1
avermelha;Pcof;0.9
baixoig;Pcof;1
candonga;Pcof;0.89
capivara;Pcof;0.93
colider;Pcof;1
dfranc;Pcof;1
irape;Pcof;1
ita;Pcof;0.94
manso;Pcof;0.75
navanhanda;Pcof;1.1
pimentalt;Pcof;0.89
smesa;Pcof;1
sobradinho;Pcof;1
ssimao2;Pcof;0.97
avermelha;Ecof2;0
baixoig;Ecof2;0
candonga;Ecof2;0
capivara;Ecof2;0
colider;Ecof2;0.38
dfranc;Ecof2;0
irape;Ecof2;1
ita;Ecof2;0
manso;Ecof2;0
navanhanda;Ecof2;0
pimentalt;Ecof2;0
smesa;Ecof2;0
sobradinho;Ecof2;1
ssimao2;Ecof2;0
avermelha;ktMin;2
baixoig;ktMin;1
candonga;ktMin;3
capivara;ktMin;2
colider;ktMin;11
dfranc;ktMin;3
irape;ktMin;3
ita;ktMin;3
manso;ktMin;0
navanhanda;ktMin;3
pimentalt;ktMin;60
smesa;ktMin;3
sobradinho;ktMin;40
ssimao2;ktMin;3
avermelha;ktMax;1
baixoig;ktMax;2
candonga;ktMax;2
capivara;ktMax;1
colider;ktMax;0
dfranc;ktMax;2
irape;ktMax;2
ita;ktMax;1
manso;ktMax;1
navanhanda;ktMax;2
pimentalt;ktMax;2
smesa;ktMax;1
sobradinho;ktMax;2
ssimao2;ktMax;1
